LGHC Indicator Name,Year,Strata,Strata Name,Geography,Grade Lev,Numerator,Denominator,Percent,LCI,UCI,Stardard Error,RSE,warning
score 6 of 6,1998-1999,None,All Students,Alameda,Grade 5,2711,12808,21.17,20.46,21.88,0.36,1.7,""
score 6 of 6,1998-1999,None,All Students,Alameda,Grade 7,2549,11493,22.18,21.42,22.94,0.39,1.76,""
score 6 of 6,1998-1999,None,All Students,Alameda,Grade 9,1986,10105,19.65,18.87,20.43,0.4,2.04,""
score 6 of 6,1998-1999,None,All Students,Amador,Grade 5,28,319,8.78,5.68,11.88,1.58,18,""
score 6 of 6,1998-1999,None,All Students,Amador,Grade 7,5,356,1.4,0.18,2.62,0.62,44.29,*
score 6 of 6,1998-1999,None,All Students,Amador,Grade 9,53,231,22.94,17.51,28.37,2.77,12.07,""
score 6 of 6,1998-1999,None,All Students,Butte,Grade 5,292,2188,13.35,11.92,14.78,0.73,5.47,""
score 6 of 6,1998-1999,None,All Students,Butte,Grade 7,411,2151,19.11,17.44,20.78,0.85,4.45,""
score 6 of 6,1998-1999,None,All Students,Butte,Grade 9,383,2168,17.67,16.06,19.28,0.82,4.64,""
score 6 of 6,1998-1999,None,All Students,Calaveras,Grade 5,43,389,11.05,7.93,14.17,1.59,14.39,""
score 6 of 6,1998-1999,None,All Students,Calaveras,Grade 7,126,360,35,30.08,39.92,2.51,7.17,""
score 6 of 6,1998-1999,None,All Students,Calaveras,Grade 9,56,464,12.07,9.11,15.03,1.51,12.51,""
score 6 of 6,1998-1999,None,All Students,California,Grade 5,70168,352131,19.93,19.79,20.07,0.07,0.35,""
score 6 of 6,1998-1999,None,All Students,California,Grade 7,72396,320706,22.57,22.43,22.71,0.07,0.31,""
score 6 of 6,1998-1999,None,All Students,California,Grade 9,56302,276181,20.39,20.23,20.55,0.08,0.39,""
score 6 of 6,1998-1999,None,All Students,Colusa,Grade 5,5,68,7.35,1.14,13.56,3.17,43.13,*
score 6 of 6,1998-1999,None,All Students,Colusa,Grade 7,7,81,8.64,2.52,14.76,3.12,36.11,*
score 6 of 6,1998-1999,None,All Students,Colusa,Grade 9,11,55,20,9.44,30.56,5.39,26.95,""
score 6 of 6,1998-1999,None,All Students,Contra Costa,Grade 5,2199,8648,25.43,24.51,26.35,0.47,1.85,""
score 6 of 6,1998-1999,None,All Students,Contra Costa,Grade 7,2069,8077,25.62,24.66,26.58,0.49,1.91,""
score 6 of 6,1998-1999,None,All Students,Contra Costa,Grade 9,1839,6762,27.2,26.14,28.26,0.54,1.99,""
score 6 of 6,1998-1999,None,All Students,Del Norte,Grade 5,130,753,17.26,14.56,19.96,1.38,8,""
score 6 of 6,1998-1999,None,All Students,Del Norte,Grade 7,244,756,32.28,28.95,35.61,1.7,5.27,""
score 6 of 6,1998-1999,None,All Students,Del Norte,Grade 9,56,341,16.42,12.48,20.36,2.01,12.24,""
score 6 of 6,1998-1999,None,All Students,El Dorado,Grade 5,368,1877,19.61,17.81,21.41,0.92,4.69,""
score 6 of 6,1998-1999,None,All Students,El Dorado,Grade 7,361,1777,20.32,18.46,22.18,0.95,4.68,""
score 6 of 6,1998-1999,None,All Students,El Dorado,Grade 9,566,1925,29.4,27.36,31.44,1.04,3.54,""
score 6 of 6,1998-1999,None,All Students,Fresno,Grade 5,2867,11859,24.18,23.42,24.94,0.39,1.61,""
score 6 of 6,1998-1999,None,All Students,Fresno,Grade 7,3294,11331,29.07,28.23,29.91,0.43,1.48,""
score 6 of 6,1998-1999,None,All Students,Fresno,Grade 9,1973,8110,24.33,23.39,25.27,0.48,1.97,""
score 6 of 6,1998-1999,None,All Students,Glenn,Grade 5,50,243,20.58,15.5,25.66,2.59,12.59,""
score 6 of 6,1998-1999,None,All Students,Glenn,Grade 7,81,317,25.55,20.75,30.35,2.45,9.59,""
score 6 of 6,1998-1999,None,All Students,Glenn,Grade 9,88,227,38.77,32.44,45.1,3.23,8.33,""
score 6 of 6,1998-1999,None,All Students,Humboldt,Grade 5,210,1144,18.36,16.13,20.59,1.14,6.21,""
score 6 of 6,1998-1999,None,All Students,Humboldt,Grade 7,273,1100,24.82,22.27,27.37,1.3,5.24,""
score 6 of 6,1998-1999,None,All Students,Humboldt,Grade 9,101,813,12.42,10.15,14.69,1.16,9.34,""
score 6 of 6,1998-1999,None,All Students,Imperial,Grade 5,383,2152,17.8,16.19,19.41,0.82,4.61,""
score 6 of 6,1998-1999,None,All Students,Imperial,Grade 7,363,1994,18.2,16.51,19.89,0.86,4.73,""
score 6 of 6,1998-1999,None,All Students,Imperial,Grade 9,438,1726,25.38,23.32,27.44,1.05,4.14,""
score 6 of 6,1998-1999,None,All Students,Inyo,Grade 5,24,224,10.71,6.65,14.77,2.07,19.33,""
score 6 of 6,1998-1999,None,All Students,Inyo,Grade 7,18,59,30.51,18.77,42.25,5.99,19.63,""
score 6 of 6,1998-1999,None,All Students,Inyo,Grade 9,6,37,16.22,4.34,28.1,6.06,37.36,*
score 6 of 6,1998-1999,None,All Students,Kern,Grade 5,1508,6932,21.75,20.77,22.73,0.5,2.3,""
score 6 of 6,1998-1999,None,All Students,Kern,Grade 7,1468,6719,21.85,20.87,22.83,0.5,2.29,""
score 6 of 6,1998-1999,None,All Students,Kern,Grade 9,1471,7992,18.41,17.57,19.25,0.43,2.34,""
score 6 of 6,1998-1999,None,All Students,Kings,Grade 5,206,1519,13.56,11.84,15.28,0.88,6.49,""
score 6 of 6,1998-1999,None,All Students,Kings,Grade 7,193,1572,12.28,10.65,13.91,0.83,6.76,""
score 6 of 6,1998-1999,None,All Students,Kings,Grade 9,74,500,14.8,11.68,17.92,1.59,10.74,""
score 6 of 6,1998-1999,None,All Students,Lake,Grade 5,134,607,22.08,18.79,25.37,1.68,7.61,""
score 6 of 6,1998-1999,None,All Students,Lake,Grade 7,211,442,47.74,43.08,52.4,2.38,4.99,""
score 6 of 6,1998-1999,None,All Students,Lake,Grade 9,170,435,39.08,34.49,43.67,2.34,5.99,""
score 6 of 6,1998-1999,None,All Students,Lassen,Grade 5,62,317,19.56,15.19,23.93,2.23,11.4,""
score 6 of 6,1998-1999,None,All Students,Lassen,Grade 7,17,285,5.96,3.22,8.7,1.4,23.49,""
score 6 of 6,1998-1999,None,All Students,Lassen,Grade 9,55,333,16.52,12.54,20.5,2.03,12.29,""
score 6 of 6,1998-1999,None,All Students,Los Angeles,Grade 5,18122,105251,17.22,16.98,17.46,0.12,0.7,""
score 6 of 6,1998-1999,None,All Students,Los Angeles,Grade 7,14895,90930,16.38,16.14,16.62,0.12,0.73,""
